,OppositeTeam,Date,Result,B365W,B365WD,B365WDL,B365WP,B365DP,B365LP,BSW,BSWD,BSWDL,BSWP,BSDP,BSLP,BWW,BWWD,BWWDL,BWWP,BWDP,BWLP,GBW,GBWD,GBWDL,GBWP,GBDP,GBLP,IWW,IWWD,IWWDL,IWWP,IWDP,IWLP,LBW,LBWD,LBWDL,LBWP,LBDP,LBLP,PSW,PSWD,PSWDL,PSWP,PSDP,PSLP,SOW,SOWD,SOWDL,SOWP,SODP,SOLP,SBW,SBWD,SBWDL,SBWP,SBDP,SBLP,SJW,SJWD,SJWDL,SJWP,SJDP,SJLP,SYW,SYWD,SYWDL,SYWP,SYDP,SYLP,VCW,VCWD,VCWDL,VCWP,VCDP,VCLP,WHW,WHWD,WHWDL,WHWP,WHDP,WHLP
Fulham,Crystal Palace,11/05/14,0,2.63,3.5,2.8,0.37164852,0.27926734,0.34908417,X,X,X,X,X,X,2.6,3.2,2.7,0.36030027,0.29274395,0.3469558,X,X,X,X,X,X,2.75,3.3,2.4,0.33566433,0.2797203,0.38461536,2.5,3.4,2.75,0.37815976,0.27805865,0.3437816,2.53,3.5,2.95,0.38752416,0.2801246,0.3323512,X,X,X,X,X,X,X,X,X,X,X,X,2.62,3.1,2.8,0.359599,0.30391914,0.3364819,X,X,X,X,X,X,2.5,3.3,2.75,0.375,0.2840909,0.3409091,2.5,3.5,2.9,0.38814533,0.27724665,0.33460802
Fulham,Stoke,03/05/14,-3,3.25,3.6,2.3,0.30158442,0.2722637,0.4261519,X,X,X,X,X,X,3,3.3,2.3,0.3111931,0.28290284,0.40590405,X,X,X,X,X,X,2.95,3.5,2.2,0.3140934,0.26473588,0.4211707,3.25,3.4,2.2,0.29127726,0.2784268,0.43029594,3.13,3.59,2.37,0.31323007,0.27309474,0.4136752,X,X,X,X,X,X,X,X,X,X,X,X,3.1,3.1,2.38,0.302799,0.302799,0.39440203,X,X,X,X,X,X,3.25,3.4,2.2,0.29127726,0.2784268,0.43029594,3.2,3.4,2.375,0.30408585,0.28619847,0.40971568
Fulham,Hull,26/04/14,0,2.3,3.4,3.4,0.425,0.2875,0.2875,X,X,X,X,X,X,2.25,3.25,3.1,0.4135454,0.28630066,0.30015394,X,X,X,X,X,X,2.2,3.3,3.1,0.42081445,0.28054297,0.29864255,2.25,3.4,3.1,0.4188357,0.27717066,0.30399364,2.35,3.48,3.25,0.41695085,0.2815616,0.30148754,X,X,X,X,X,X,X,X,X,X,X,X,2.25,3.25,3.25,0.41935483,0.29032257,0.29032257,X,X,X,X,X,X,2.25,3.3,3.25,0.42120767,0.28718704,0.2916053,2.3,3.4,3.4,0.425,0.2875,0.2875
Fulham,Tottenham,19/04/14,-2,6.5,4.2,1.5,0.14532872,0.2249135,0.62975776,X,X,X,X,X,X,6.75,4.33,1.45,0.13861813,0.21609062,0.64529127,X,X,X,X,X,X,5.2,4.1,1.55,0.17783687,0.22554918,0.59661394,7,4.5,1.45,0.1354437,0.2106902,0.6538661,6.77,4.56,1.53,0.14472857,0.21487114,0.6404003,X,X,X,X,X,X,X,X,X,X,X,X,6,4.2,1.53,0.15747684,0.22496693,0.6175562,X,X,X,X,X,X,6.25,4.33,1.5,0.151284,0.21836604,0.63035,6.5,4.5,1.533,0.1495999,0.21608874,0.6343114
Fulham,Norwich,12/04/14,1,2.15,3.5,3.6,0.45218015,0.2777678,0.27005205,X,X,X,X,X,X,2.15,3.2,3.4,0.43398485,0.29158357,0.2744316,X,X,X,X,X,X,2.05,3.3,3.5,0.45311886,0.28148293,0.26539817,2.15,3.4,3.5,0.4451094,0.28146625,0.27342436,2.21,3.43,3.62,0.44349593,0.28575101,0.27075306,X,X,X,X,X,X,X,X,X,X,X,X,2.2,3.2,3.4,0.42834646,0.2944882,0.27716535,X,X,X,X,X,X,2.1,3.4,3.4,0.44736844,0.27631578,0.27631578,2.15,3.5,3.6,0.45218015,0.2777678,0.27005205
Fulham,Aston Villa,05/04/14,1,4,3.5,2.05,0.24425532,0.27914894,0.47659576,X,X,X,X,X,X,3.9,3.4,1.95,0.24113475,0.27659574,0.4822695,X,X,X,X,X,X,3.8,3.45,1.9,0.24381626,0.26855123,0.4876325,3.75,3.4,2,0.2513863,0.27726433,0.47134936,4.16,3.59,2,0.23591726,0.27337486,0.49070787,X,X,X,X,X,X,X,X,X,X,X,X,4,3.25,2,0.23636363,0.29090908,0.47272727,X,X,X,X,X,X,4,3.5,2.05,0.24425532,0.27914894,0.47659576,4.1,3.5,2,0.23688664,0.27749577,0.48561758
Fulham,Everton,30/03/14,-2,5,3.75,1.8,0.19565217,0.26086956,0.54347825,X,X,X,X,X,X,4.5,3.7,1.75,0.20887096,0.25403225,0.5370968,X,X,X,X,X,X,3.8,3.45,1.9,0.24381626,0.26855123,0.4876325,4.8,3.75,1.75,0.19908987,0.25483504,0.5460751,5.1,3.73,1.8,0.19228457,0.26290917,0.54480624,X,X,X,X,X,X,X,X,X,X,X,X,5,3.1,1.83,0.1870857,0.30175114,0.5111631,X,X,X,X,X,X,4.5,3.8,1.73,0.20897041,0.24746495,0.5435646,5,3.75,1.8,0.19565217,0.26086956,0.54347825
Fulham,Man City,22/03/14,-5,17,9,1.17,0.057409223,0.10843965,0.83415115,X,X,X,X,X,X,13,8,1.16,0.072296664,0.11748207,0.81022125,X,X,X,X,X,X,15,7,1.15,0.061780505,0.1323868,0.8058327,15,8,1.16,0.06326697,0.118625574,0.8181074,20.63,9.47,1.15,0.04735389,0.103158474,0.84948766,X,X,X,X,X,X,X,X,X,X,X,X,17,6.5,1.17,0.055110693,0.14413565,0.80075365,X,X,X,X,X,X,15,8,1.14,0.062371768,0.11694707,0.82068115,19,8.5,1.17,0.051348906,0.11477991,0.8338712
Fulham,Newcastle,15/03/14,1,2.9,3.4,2.6,0.33689025,0.28734756,0.37576222,X,X,X,X,X,X,2.85,3.3,2.45,0.33037084,0.28532025,0.3843089,X,X,X,X,X,X,2.6,3.2,2.6,0.35555556,0.28888887,0.35555556,2.9,3.4,2.4,0.32666132,0.2786229,0.39471576,2.96,3.41,2.57,0.33114928,0.2874492,0.3814015,X,X,X,X,X,X,X,X,X,X,X,X,2.8,3.2,2.5,0.3338898,0.2921536,0.3739566,X,X,X,X,X,X,3,3.3,2.4,0.31654677,0.2877698,0.39568344,2.9,3.5,2.5,0.33460802,0.27724665,0.38814533
Fulham,Cardiff,08/03/14,-2,3.2,3.5,2.35,0.30525142,0.27908704,0.41566154,X,X,X,X,X,X,3.25,3.2,2.25,0.28901154,0.29352733,0.4174611,X,X,X,X,X,X,3.1,3.3,2.2,0.29864255,0.28054297,0.42081445,3.1,3.4,2.25,0.30399364,0.27717066,0.4188357,3.36,3.48,2.3,0.29185262,0.28178874,0.4263586,X,X,X,X,X,X,X,X,X,X,X,X,3.1,3.1,2.4,0.30379748,0.30379748,0.39240506,X,X,X,X,X,X,3,3.4,2.3,0.31380418,0.27688602,0.4093098,3.25,3.4,2.38,0.30107528,0.28779253,0.4111322
Fulham,Chelsea,01/03/14,-2,8,4.75,1.45,0.12192964,0.20535517,0.6727152,X,X,X,X,X,X,6.75,4.33,1.45,0.13861813,0.21609062,0.64529127,X,X,X,X,X,X,7.3,4.4,1.4,0.1270103,0.21072164,0.66226804,7.5,4.5,1.45,0.12756598,0.21260998,0.659824,7.44,4.6,1.5,0.13197154,0.21344963,0.6545788,X,X,X,X,X,X,X,X,X,X,X,X,8,4,1.44,0.11688312,0.23376624,0.64935064,X,X,X,X,X,X,7.5,4.33,1.44,0.12593769,0.21813688,0.65592545,8,4.75,1.45,0.12192964,0.20535517,0.6727152
Fulham,West Brom,22/02/14,0,4.75,3.9,1.8,0.20589529,0.2507699,0.54333484,X,X,X,X,X,X,4.5,3.8,1.72,0.20831208,0.24668537,0.5450025,X,X,X,X,X,X,4.2,3.5,1.8,0.22058824,0.26470587,0.5147059,4.33,3.6,1.8,0.21699819,0.2610006,0.5220012,5.01,3.9,1.77,0.19549868,0.25114062,0.5533607,X,X,X,X,X,X,X,X,X,X,X,X,4.5,3.5,1.8,0.20895523,0.2686567,0.5223881,X,X,X,X,X,X,4.5,3.8,1.73,0.20897041,0.24746495,0.5435646,4.6,3.8,1.83,0.21167661,0.25624013,0.5320833
Fulham,Liverpool,12/02/14,-1,8,5.25,1.4,0.12138728,0.1849711,0.6936416,X,X,X,X,X,X,7.25,4.5,1.42,0.12958832,0.20878118,0.6616305,X,X,X,X,X,X,7,4,1.45,0.13196814,0.23094426,0.6370876,6.5,4.5,1.44,0.14371258,0.20758484,0.64870256,8,5.21,1.42,0.122409336,0.1879606,0.6896301,X,X,X,X,X,X,X,X,X,X,X,X,7,4.33,1.44,0.13373026,0.21619211,0.65007764,X,X,X,X,X,X,7.5,4.5,1.4,0.12462908,0.20771512,0.66765577,7.5,5,1.44,0.12972973,0.19459459,0.6756757
